Id,Label,Desc,DiscX,DiscY,DiscCx,DiscCy
photo1019_path1810,,orange,30.20903,108.603499,1.56968012,1.48706532
photo1019_path1812,,orange,3.958194,78.655679,1.69360218,1.65229492
photo1019_path1814,,orange,5.156107,78.800229,2.1892906,2.0240612
photo1019_path1816,,orange,5.21807,80.328609,2.0653684,1.61098748
photo1019_path1818,,orange,20.109372,66.387379,1.85883178,1.73490962
photo1019_path1820,,orange,14.305692,50.917759,1.48706532,1.69360218
photo1019_path1822,,orange,10.319528,29.437929,1.77621688,1.61098748
photo1019_path1824,,orange,34.153879,27.227989,1.77621688,1.90013904
photo1019_path1826,,orange,4.164725,1.307609,1.85883178,1.69360218
photo1019_path1828,,orange,52.515003,46.126109,2.0653684,2.0240612
photo1019_path1830,,orange,53.795533,45.692379,1.65229492,1.65229492
photo1019_path1832,,orange,49.809373,63.495859,1.44575796,1.4044506
photo1019_path1834,,orange,61.499363,58.043289,1.69360218,1.56968012
photo1019_path1836,,orange,51.730173,101.849759,1.48706532,1.28052846
photo1019_path1838,,orange,32.005893,124.610119,1.77621688,1.77621688
photo1019_path1840,,orange,66.476903,140.472139,1.73490962,1.69360218
photo1019_path1842,,orange,68.397693,136.837099,1.85883178,1.85883178
photo1019_path1844,,orange,68.129193,77.684949,1.15660638,1.44575796
photo1019_path1846,,orange,77.526623,88.755309,1.19791374,1.61098748
photo1019_path1848,,orange,69.533643,68.659279,2.230598,1.48706532
photo1019_path1850,,orange,69.740183,67.523329,2.0653684,1.85883178
photo1019_path1852,,orange,70.442413,66.139539,2.0653684,2.1479834
photo1019_path1854,,orange,72.693663,64.198099,2.106676,2.1479834
photo1019_path1856,,orange,77.898383,62.814279,1.69360218,2.0240612
photo1019_path1858,,orange,80.418133,71.302959,1.52837276,1.56968012
photo1019_path1860,,orange,62.057003,45.258659,1.98275376,2.106676
photo1019_path1862,,orange,62.284203,47.241409,1.77621688,2.0240612
photo1019_path1966,,orange,63.729953,47.076189,1.69360218,1.77621688
photo1019_path1968,,orange,80.397473,44.329239,1.4044506,1.65229492
photo1019_path1970,,orange,78.249493,7.214559,2.230598,1.77621688
photo1019_path1972,,orange,109.023493,27.888909,1.73490962,0.99137688
photo1019_path1974,,orange,91.426543,67.316789,2.230598,1.77621688
photo1019_path1976,,orange,88.803523,81.939599,2.106676,1.69360218
photo1019_path1980,,orange,100.080453,118.496619,1.69360218,1.36314326
photo1019_path1982,,orange,107.536423,147.886823,1.2392211,1.65229492
photo1019_path1984,,orange,87.481703,167.053443,2.5197496,1.81752434
photo1019_path1986,,orange,87.233863,169.346003,1.69360218,1.44575796
photo1019_path1988,,orange,113.422723,87.763939,1.28052846,2.0240612
photo1019_path1990,,orange,110.655133,56.556229,1.9414463,1.65229492
photo1019_path1992,,orange,126.289973,32.680559,1.3218359,1.90013904
photo1019_path1994,,orange,104.438373,7.813509,1.65229492,1.56968012
photo1019_path1996,,orange,121.642893,12.894329,1.9414463,2.1479834
photo1019_path1998,,orange,140.747553,67.688559,1.73490962,1.52837276
photo1019_path2000,,orange,140.127943,71.468179,1.90013904,1.48706532
photo1019_path2002,,orange,144.692403,73.987929,1.52837276,1.3218359
photo1019_path2004,,orange,145.188093,139.955809,1.19791374,1.2392211
photo1019_path2006,,orange,145.910973,138.282859,1.15660638,1.19791374
photo1019_path2008,,orange,149.256853,147.969434,2.230598,2.230598
photo1019_path2010,,orange,159.501093,101.746489,1.81752434,1.98275376
photo1019_path2012,,orange,169.414863,23.861439,1.3218359,1.36314326
photo1019_path3280,,orange,146.447973,112.569019,1.90013904,1.48706532
photo1019_path2176,,pink,4.453877719,162.0965563,1.85883178,2.6436718
photo1019_path2280,,pink,18.51904,149.807612,1.65229492,1.44575796
photo1019_path2282,,pink,31.820017,122.999119,1.81752434,1.28052846
photo1019_path2284,,pink,1.355831259,91.44028815,3.4285114,1.69360218
photo1019_path2388,,pink,19.696298,90.634799,1.77621688,1.65229492
photo1019_path2390,,pink,16.16452596,89.70538569,1.56968012,2.1892906
photo1019_path2494,,pink,25.851096,95.178609,2.1892906,1.4044506
photo1019_path2496,,pink,31.98523677,73.51291077,1.56968012,2.2719056
photo1019_path2600,,pink,15.875369,54.532149,2.4784422,2.0653684
photo1019_path2602,,pink,16.4123618,51.06233678,2.1479834,3.0567456
photo1019_path2706,,pink,11.682675,50.525359,1.85883178,1.65229492
photo1019_path2810,,pink,4.515842,32.453379,1.98275376,1.52837276
photo1019_path2812,,pink,6.477945,30.553239,2.2719056,1.44575796
photo1019_path2814,,pink,30.663407,21.217759,1.81752434,1.77621688
photo1019_path2816,,pink,54.910833,11.840999,1.3218359,1.28052846
photo1019_path2818,,pink,61.168893,14.567269,1.28052846,1.11529904
photo1019_path2820,,pink,53.175923,50.917759,1.81752434,1.77621688
photo1019_path2822,,pink,51.523633,65.519919,2.0653684,2.0653684
photo1019_path2824,,pink,59.248103,78.635009,1.65229492,2.1892906
photo1019_path2826,,pink,53.527033,134.069509,1.77621688,1.44575796
photo1019_path2828,,pink,70.380443,138.096969,1.9414463,1.90013904
photo1019_path2830,,pink,65.650753,135.742459,1.4044506,1.98275376
photo1019_path2832,,pink,65.815973,137.911099,1.56968012,1.69360218
photo1019_path2834,,pink,55.757643,163.149891,1.52837276,1.52837276
photo1019_path2836,,pink,59.248103,167.363245,1.65229492,1.85883178
photo1019_path2838,,pink,59.764453,171.638556,1.85883178,1.65229492
photo1019_path2840,,pink,59.55791189,169.3046987,1.52837276,2.6023644
