Id,Label,Desc,DiscX,DiscY,DiscCx,DiscCy
photo0448_path10019,,pink,170.918683,165.930461,0.90876216,0.86745482
photo0448_path10025,,pink,9.737323,57.395341,0.90876216,0.90876216
photo0448_path10031,,pink,102.9680568,21.12747039,0.99137688,1.81752434
photo0448_path1903,,pink,16.119311,101.2844242,2.348638,1.85294972
photo0448_path2007,,pink,34.893506,113.862518,1.3218359,1.48706532
photo0448_path2009,,pink,10.955884,59.873784,1.9414463,2.7262866
photo0448_path2011,,pink,27.354919,62.125035,1.03268424,1.19791374
photo0448_path2013,,pink,3.024876329,43.82586865,2.4371348,1.28052846
photo0448_path2301,,pink,23.678558,26.476775,1.28052846,1.61098748
photo0448_path2303,,pink,37.371954,18.545763,1.07399168,1.03268424
photo0448_path2305,,pink,44.78662575,27.75730442,1.19791374,2.3545202
photo0448_path2409,,pink,45.468194,27.777959,1.4044506,1.3218359
photo0448_path2411,,pink,42.6799506,48.24576531,2.4371348,1.03268424
photo0448_path2515,,pink,44.80728058,112.1276082,1.07399168,2.0653684
photo0448_path2745,,pink,51.561032,115.700696,1.11529904,2.106676
photo0448_path2747,,pink,32.662915,127.907024,1.3218359,1.56968012
photo0448_path2749,,pink,46.08780694,128.7951332,1.15660638,1.85883178
photo0448_path2853,,pink,68.68294,159.424553,1.48706532,1.48706532
photo0448_path2855,,pink,75.68454,159.176701,1.9414463,0.99137688
photo0448_path2959,,pink,76.07696027,159.9821977,1.15660638,2.5197496
photo0448_path3063,,pink,76.2008806,155.9134235,2.230598,1.07399168
photo0448_path3167,,pink,76.490033,154.942699,0.74353266,0.78484006
photo0448_path3169,,pink,77.04768,154.488316,0.7022253,0.7022253
photo0448_path3171,,pink,74.50727668,148.4987511,1.90013904,0.95006952
photo0448_path3275,,pink,79.030435,147.011684,0.78484006,1.28052846
photo0448_path3277,,pink,81.30234151,118.6748272,2.0240612,1.28052846
photo0448_path3381,,pink,62.92055977,104.3824764,0.86745482,1.77621688
photo0448_path3485,,pink,62.59009958,103.7628671,1.9414463,1.03268424
photo0448_path3589,,pink,83.80143692,104.878165,1.15660638,1.85883178
photo0448_path3693,,pink,84.58627579,98.33094694,1.07399168,1.73490962
photo0448_path3797,,pink,83.016597,94.3447857,1.98275376,1.11529904
photo0448_path3799,,pink,83.61555167,97.15368675,1.3556777,2.4779582
photo0448_path3903,,pink,74.81708233,94.48936152,0.7022253,0.90876216
photo0448_path4007,,pink,85.020004,89.2226715,0.95006952,0.78484006
photo0448_path4009,,pink,87.353869,89.7596672,1.56968012,1.03268424
photo0448_path4011,,pink,85.701576,90.4205848,1.48706532,1.11529904
photo0448_path4013,,pink,89.33662456,90.44123885,3.5524338,1.73490962
photo0448_path4117,,pink,85.9494198,89.57378445,1.98275376,0.82614746
photo0448_path4221,,pink,89.74969853,87.0127272,1.15660638,2.1479834
photo0448_path4325,,pink,93.446707,87.2812256,1.28052846,1.19791374
photo0448_path4327,,pink,99.66346628,88.04541176,1.4044506,2.1479834
photo0448_path4431,,pink,88.84093713,81.47754033,1.07399168,2.4784422
photo0448_path4535,,pink,88.200671,84.162518,0.95006952,1.07399168
photo0448_path4537,,pink,83.450323,66.524269,0.95006952,1.07399168
photo0448_path4539,,pink,82.417639,66.462309,1.03268424,0.78484006
photo0448_path4541,,pink,71.078766,28.769334,2.7262866,1.4044506
photo0448_path4543,,pink,91.27806997,22.90369469,1.15660638,1.98275376
photo0448_path4647,,pink,121.453105,13.299724,0.7022253,0.86745482
photo0448_path4649,,pink,128.9917014,32.77614495,1.0403778,1.96529674
photo0448_path4753,,pink,130.375497,31.950005,1.11529904,1.15660638
photo0448_path4755,,pink,130.8092201,30.97927965,1.56968012,0.95006952
photo0448_path4859,,pink,116.3929519,46.1390819,0.90876216,1.9414463
photo0448_path4963,,pink,122.8369016,51.03400937,0.9719943,2.2827632
photo0448_path5067,,pink,116.2277227,68.50702364,1.15660638,2.3958274
photo0448_path5171,,pink,114.0590862,71.9974978,1.28052846,0.78484006
photo0448_path5294,,pink,90.86499627,107.0054955,1.4044506,2.230598
photo0448_path5398,,pink,114.967848,113.862518,1.28052846,1.2392211
photo0448_path5400,,pink,99.4362762,137.510988,0.78484006,0.78484006
photo0448_path5402,,pink,86.589683,131.190962,0.78484006,0.86745482
photo0448_path5404,,pink,107.6357895,136.6435314,1.65229492,0.95006952
photo0448_path5508,,pink,114.410198,137.634911,1.15660638,0.86745482
photo0448_path5510,,pink,93.8597807,144.863698,1.28052846,1.11529904
photo0448_path5512,,pink,121.5150651,142.4885239,1.73490962,2.3958274
photo0448_path5616,,pink,114.183008,151.431572,0.95006952,0.86745482
photo0448_path5618,,pink,116.351645,156.80153,0.99137688,1.36314326
photo0448_path5620,,pink,121.432452,156.491728,0.99137688,0.82614746
photo0448_path5622,,pink,120.854147,173.283171,1.3218359,1.19791374
photo0448_path5624,,pink,140.784952,151.163078,1.03268424,1.2392211
