Id,Label,Desc,DiscX,DiscY,DiscCx,DiscCy
photo0629_path10002,,pink,172.9345742,3.645427778,2.4577886,1.65229492
photo0629_path10125,,pink,169.330488,44.209264,1.69360218,1.52837276
photo0629_path10127,,pink,174.648828,42.970044,2.1686368,1.61098748
photo0629_path10129,,pink,171.3649063,59.54462251,1.92079278,1.59033384
photo0629_path10233,,pink,171.716008,66.577194,1.46641168,1.9414463
photo0629_path10337,,pink,174.132471,70.51174351,1.79687062,2.8708624
photo0629_path10441,,pink,170.425168,95.967394,2.3958274,1.36314326
photo0629_path10443,,pink,174.7727791,98.07408072,2.2512516,1.3218359
photo0629_path10547,,pink,174.328688,104.425084,1.61098748,1.42510424
photo0629_path10549,,pink,171.034448,117.870636,2.1686368,1.50771904
photo0629_path10551,,pink,174.039548,168.461838,1.4044506,1.15660638
photo0629_path11246,,pink,21.117289,64.029014,1.14499474,1.14499474
photo0629_path11248,,pink,11.428873,68.719094,1.10095644,1.27710952
photo0629_path11250,,pink,15.128086,74.741324,1.36518602,1.21105214
photo0629_path1842,,pink,26.923343,172.334402,1.56968012,1.79687062
photo0629_path1844,,pink,17.980301,164.847442,1.61098748,1.36314326
photo0629_path1846,,pink,16.720432,158.548068,1.4044506,1.44575796
photo0629_path1848,,pink,24.23837199,150.5137846,1.28052846,2.1479834
photo0629_path1952,,pink,33.770047,147.560309,1.25987482,1.19791374
photo0629_path1954,,pink,21.47078,119.905023,1.15660638,1.69360218
photo0629_path1956,,pink,17.49493246,113.7192449,1.87948532,1.0946453
photo0629_path2060,,pink,24.475888,113.202899,1.50771904,2.8708624
photo0629_path2062,,pink,27.326096,115.113373,1.05333796,0.99137688
photo0629_path2064,,pink,15.883957,102.597224,1.6316412,1.3218359
photo0629_path2066,,pink,17.143827,101.802074,1.21856738,1.13595276
photo0629_path2068,,pink,28.224533,97.815904,1.15660638,1.0120306
photo0629_path2070,,pink,20.056003,94.759164,1.46641168,1.46641168
photo0629_path2072,,pink,28.80282869,93.75745931,1.65229492,2.3958274
photo0629_path2176,,pink,23.00948396,89.43051308,1.96210022,1.25987482
photo0629_path2280,,pink,26.241782,90.184364,1.28052846,1.15660638
photo0629_path2284,,pink,7.591502062,83.50290203,1.77621688,1.13595276
photo0629_path2388,,pink,8.954642,84.649184,1.3218359,1.85883178
photo0629_path2390,,pink,17.319382,79.867854,1.28052846,1.42510424
photo0629_path2392,,pink,21.739273,81.530484,1.19791374,1.28052846
photo0629_path2394,,pink,25.684128,84.008924,1.56968012,1.56968012
photo0629_path2396,,pink,6.672409,76.914384,1.42510424,1.13595276
photo0629_path2398,,pink,3.739585,74.301684,1.21856738,1.11529904
photo0629_path2400,,pink,9.553598,72.773314,1.77621688,1.65229492
photo0629_path2402,,pink,2.686246,70.274214,1.46641168,1.28052846
photo0629_path2404,,pink,2.50037,69.148584,1.38379698,1.21856738
photo0629_path2406,,pink,2.593308,67.578914,1.28052846,1.17726012
photo0629_path2408,,pink,5.123386,65.482554,1.46641168,1.36314326
photo0629_path2410,,pink,4.049393,65.523874,1.21856738,0.74353266
photo0629_path2412,,pink,16.038858,65.627134,1.44575796,1.44575796
photo0629_path2414,,pink,17.784092,68.590944,1.50771904,1.34248952
photo0629_path2416,,pink,22.926859,68.725184,1.25987482,1.3218359
photo0629_path2418,,pink,1.323111364,57.16945439,1.42510424,2.8708624
photo0629_path2522,,pink,4.80325,53.400154,0.95006952,1.11529904
photo0629_path2524,,pink,18.29011,52.604984,0.99137688,0.97072316
photo0629_path2526,,pink,11.20590291,53.22460102,1.15660638,0.64026422
photo0629_path2630,,pink,26.169492,48.216074,1.25987482,2.4784422
photo0629_path2632,,pink,20.34515143,45.47946944,1.30118218,2.1686368
photo0629_path2736,,pink,9.357392421,42.09226164,1.50771904,2.2099444
photo0629_path2840,,pink,7.415943388,41.32808039,2.044715,1.17726012
photo0629_path2944,,pink,6.527835,40.016564,1.0120306,1.2392211
photo0629_path2946,,pink,17.154154,25.982384,1.36314326,1.17726012
photo0629_path2948,,pink,10.121571,19.42484666,1.46641168,0.99137688
photo0629_path3052,,pink,19.260831,19.610734,1.2392211,1.2392211
photo0629_path3054,,pink,0.197477,12.929244,1.28052846,1.30118218
photo0629_path3056,,pink,18.558603,4.946614,1.36314326,1.36314326
photo0629_path3058,,pink,16.606833,0.154846,1.92079278,3.7589706
photo0629_path3060,,pink,35.866391,10.512764,1.19791374,1.21856738
photo0629_path3062,,pink,35.6392,12.578154,1.19791374,2.0034074
photo0629_path3064,,pink,34.482596,16.326784,2.0240612,1.11529904
photo0629_path3066,,pink,40.31725509,2.199668202,1.96210022,1.28052846
