Id,Label,Desc,DiscX,DiscY,DiscCx,DiscCy
photo0592_path1509,,orange,133.22786,37.989051,0.90876216,0.88810844
photo0592_path1951,,orange,23.23667,89.943401,1.6316412,1.15660638
photo0592_path1953,,orange,12.383157,64.105631,1.4044506,1.65229492
photo0592_path1955,,orange,0.734475,36.853101,1.4044506,1.5490264
photo0592_path1957,,orange,4.916854,35.520931,1.38379698,1.44575796
photo0592_path1959,,orange,8.097518,19.576261,2.044715,2.561057
photo0592_path1961,,orange,45.63558,17.831051,1.44575796,1.75556316
photo0592_path2065,,orange,49.20869,40.467501,1.9414463,1.96210022
photo0592_path2067,,orange,52.4823,38.216241,1.71425572,1.38379698
photo0592_path2069,,orange,48.42384,147.298673,1.48706532,2.0653684
photo0592_path2071,,orange,53.85575818,136.4245208,1.48706532,2.1273296
photo0592_path2175,,orange,56.01407,133.894441,2.3338666,2.106676
photo0592_path2177,,orange,52.73014,115.584951,1.42510424,1.71425572
photo0592_path2179,,orange,64.76090299,46.21954869,1.9414463,2.1479834
photo0592_path2283,,orange,69.95531,35.366031,1.50771904,1.50771904
photo0592_path2285,,orange,76.40958,22.219961,1.44575796,1.48706532
photo0592_path2287,,orange,72.4544,26.794741,1.5490264,1.21856738
photo0592_path2289,,orange,71.1842,24.708731,1.52837276,1.50771904
photo0592_path2291,,orange,70.91571,30.068351,1.36314326,1.48706532
photo0592_path2293,,orange,81.26319,58.281291,1.69360218,1.69360218
photo0592_path2295,,orange,68.57151,118.517761,1.0946453,1.50771904
photo0592_path2297,,orange,84.15471,150.448362,1.2392211,1.50771904
photo0592_path2299,,orange,101.70002,159.690891,1.59033384,1.48706532
photo0592_path2301,,orange,90.98076,91.812551,1.46641168,1.46641168
photo0592_path2303,,orange,113.0388961,54.92507819,1.25987482,1.5490264
photo0592_path2407,,orange,113.63785,55.379451,2.0034074,1.42510424
photo0592_path2409,,orange,125.87515,161.353507,1.73490962,1.5490264
photo0592_path2411,,orange,135.665,141.784141,1.56968012,1.52837276
photo0592_path2413,,orange,114.05092,118.641691,1.50771904,1.42510424
photo0592_path2415,,orange,141.02464,124.620931,1.59033384,1.28052846
photo0592_path2417,,orange,123.16954,101.416511,1.2392211,0.9294159
photo0592_path2419,,orange,123.63424,77.995241,1.21856738,1.21856738
photo0592_path2421,,orange,135.51009,18.471301,1.5490264,1.50771904
photo0592_path2423,,orange,148.67684,42.130121,1.61098748,1.69360218
photo0592_path2425,,orange,155.317,47.613671,1.6316412,1.71425572
photo0592_path2427,,orange,140.78712,126.180281,1.36314326,1.17726012
photo0592_path2429,,orange,145.79564,141.371067,1.5490264,1.69360218
photo0592_path2431,,orange,141.93341,145.40886,1.42510424,1.17726012
photo0592_path2433,,orange,154.00548,171.690684,1.48706532,1.48706532
photo0592_path2435,,orange,159.73687,162.179655,1.25987482,1.50771904
photo0592_path2437,,orange,171.54046,94.290981,1.56968012,1.21856738
photo0592_path2439,,orange,154.49085,83.829901,1.6316412,1.52837276
photo0592_path2441,,orange,165.97428,15.362931,1.38379698,1.28052846
photo0592_path2443,,orange,167.75052,17.025551,1.59033384,1.50771904
photo0592_path1060,,pink,117.06637,84.366901,1.30118218,1.07399158
photo0592_path1062,,pink,116.45706,85.368591,0.86745482,1.0946453
photo0592_path1064,,pink,121.42428,85.688741,1.21856738,1.28052846
photo0592_path1066,,pink,121.55853,89.592281,2.3545202,1.19791364
photo0592_path1068,,pink,126.07137,88.177491,0.97072316,0.88810844
photo0592_path1070,,pink,105.74814,97.048261,1.38379698,1.03268424
photo0592_path1072,,pink,104.75676,102.263321,1.05333796,1.05333796
photo0592_path1074,,pink,109.21797,108.252881,1.25987482,1.50771904
photo0592_path1076,,pink,117.06637,111.123751,1.42510424,1.17726012
photo0592_path1077,,pink,130.18145,107.003341,1.38379698,1.36314326
photo0592_path1078,,pink,110.5501223,108.6762841,1.61098748,0.61961054
photo0592_path1079,,pink,131.10055,106.404391,0.82614736,0.82614736
photo0592_path1081,,pink,115.43471,101.488811,1.42510424,0.90876216
photo0592_path1083,,pink,118.86322,91.957121,1.6316412,1.05333796
photo0592_path1085,,pink,129.29334,95.953621,1.38379698,1.56968012
photo0592_path1087,,pink,130.06783,94.972561,1.28052846,1.59033374
photo0592_path1089,,pink,131.48265,94.084461,2.4577886,1.25987482
photo0592_path1091,,pink,136.1607003,16.42660232,1.65229474,2.3751738
photo0592_path1182,,pink,107.2352,113.839701,1.30118218,0.99137688
photo0592_path1184,,pink,108.51573,113.230421,1.50771904,1.42510424
photo0592_path1186,,pink,109.6207,124.765511,1.81752434,1.77621688
photo0592_path1190,,pink,121.0731795,114.2011392,1.75556316,1.13595266
photo0592_path1195,,pink,135.9231743,20.05132112,1.50771904,2.8502084
photo0592_path1299,,pink,137.36893,25.266371,1.13595266,1.17726012
photo0592_path1301,,pink,144.8145936,27.57960689,2.1892906,1.0946453
photo0592_path1405,,pink,134.2915092,26.44364294,1.79687062,1.0946453
photo0592_path1511,,pink,131.16251,49.338251,1.19791364,1.69360218
photo0592_path1513,,pink,133.46539,50.856301,1.34248952,0.76418634
photo0592_path1515,,pink,132.47401,58.684041,1.13595266,1.21856738
photo0592_path1517,,pink,136.60474,99.123971,1.50771904,1.87948532
photo0592_path1519,,pink,133.42408,99.702261,1.67294846,1.4664116
photo0592_path1521,,pink,130.70811,100.249581,0.90876216,0.86745482
photo0592_path1523,,pink,132.67022,100.662651,2.106676,0.86745482
photo0592_path1525,,pink,139.17613,105.206471,1.90013904,0.95006952
photo0592_path1527,,pink,142.3155141,104.2150869,2.106676,1.11529904
photo0592_path1631,,pink,116.49838,129.453901,1.3218359,1.44575796
photo0592_path1633,,pink,120.89762,136.032091,1.3218359,1.30118218
photo0592_path1635,,pink,122.40533,136.310921,1.61098748,0.70222526
photo0592_path1637,,pink,126.64967,139.708445,1.50771904,1.25987482
photo0592_path1639,,pink,113.85471,139.181779,1.61098748,1.61098748
photo0592_path1641,,pink,114.85642,142.341795,1.30118218,1.28052846
photo0592_path1643,,pink,131.25545,141.464011,1.4664116,1.50771904
photo0592_path1645,,pink,145.89889,132.810111,1.38379698,1.05333796
photo0592_path1647,,pink,114.64989,146.049131,1.5490264,1.50771904
photo0592_path1649,,pink,122.58089,144.365855,1.75556316,1.48706532
photo0592_path1651,,pink,122.82874,143.436436,0.9294159,1.19791364
photo0592_path1653,,pink,121.692789,146.1937027,1.17726012,1.5490264
photo0592_path1757,,pink,127.94054,152.121311,1.69360218,0.76418634
photo0592_path1759,,pink,128.80799,152.875169,2.2719054,0.99137688
photo0592_path1761,,pink,142.016,154.764982,1.83817788,1.0120305
photo0592_path1763,,pink,122.09552,174.36533,1.19791364,0.76418634
photo0592_path1765,,pink,147.77838,156.42761,1.25987482,1.19791364
photo0592_path1767,,pink,149.98834,156.737412,0.88810844,0.86745482
photo0592_path1769,,pink,150.79383,149.302085,2.1273296,1.3218359
photo0592_path1771,,pink,154.85228,151.336472,1.19791364,1.30118218
photo0592_path1773,,pink,152.7249398,153.7942585,2.7262866,1.30118218
photo0592_path1877,,pink,154.57345,158.296763,0.88810844,1.0120305
photo0592_path1879,,pink,155.7610312,159.1745483,1.3218359,2.1479832
photo0592_path1983,,pink,143.19327,148.300382,1.59033374,0.9294159
photo0592_path1985,,pink,146.06412,138.025171,1.50771904,1.44575796
photo0592_path1987,,pink,150.68023,140.142173,0.95006952,1.30118218
photo0592_path1989,,pink,153.88155,71.623571,1.48706532,1.28052846
photo0592_path1991,,pink,158.97269,61.048881,2.044715,1.19791364
photo0592_path1993,,pink,155.23436,58.250321,1.75556316,0.97072316
photo0592_path1995,,pink,156.8040333,57.04207337,1.87948532,1.11529904
photo0592_path2099,,pink,152.91085,47.799551,1.61098748,1.50771904
photo0592_path2103,,pink,152.64232,2.495691,1.28052846,1.28052846
photo0592_path2105,,pink,153.22064,3.611001,1.2392211,1.40445052
photo0592_path2107,,pink,166.87274,26.216451,1.44575796,1.13595266
photo0592_path2109,,pink,163.03114,61.565241,1.3218359,1.40445052
photo0592_path2111,,pink,162.91754,76.301641,1.4664116,1.13595266
photo0592_path2113,,pink,167.3994,79.595901,1.30118218,1.40445052
