Id,Label,Desc,DiscX,DiscY,DiscCx,DiscCy
photo0494_path10042,,orange,126.4533573,131.7055623,2.3728756,0.92733068
photo0494_path1038,,orange,61.672853,168.39265,1.00286866,1.00286866
photo0494_path1548,,orange,102.792785,157.27534,0.70913524,1.1182517
photo0494_path1550,,orange,99.547128,140.269731,1.09097728,0.98187952
photo0494_path2212,,orange,136.667633,4.129404,1.20007506,1.2818983
photo0494_path2214,,orange,137.117663,3.761194,1.17280054,0.87278184
photo0494_path2216,,orange,136.681268,3.052064,0.90005626,1.69101468
photo0494_path2404,,orange,26.151632,28.64912,1.30917272,1.39099598
photo0494_path2652,,orange,120.903009,80.252344,1.47281924,0.90005626
photo0494_path2654,,orange,121.353036,78.615877,1.44554492,0.57276306
photo0494_path2766,,orange,16.852337,75.434438,1.54287482,1.54287482
photo0494_path2768,,orange,43.48621708,73.75656077,2.044309,1.11858434
photo0494_path2989,,orange,133.967462,134.078435,1.2546238,1.80011254
photo0494_path2991,,orange,112.734314,160.834654,1.06370286,1.03642836
photo0494_path3423,,orange,21.558105,43.535503,1.85144978,0.92572488
photo0494_path3425,,orange,4.58648,39.408305,1.69716244,1.08001242
photo0494_path3429,,orange,12.474432,31.828941,1.6585905,1.42715922
photo0494_path3534,,orange,166.0831087,144.1836128,1.82738704,0.9546051
photo0494_path3543,,orange,23.467413,20.025945,1.96716556,1.19572802
photo0494_path3545,,orange,25.029574,21.14453,0.92572488,0.96429672
photo0494_path3547,,orange,24.25813507,18.19378836,1.00286866,1.69716244
photo0494_path3638,,orange,165.72854,151.656807,1.06370286,0.79095854
photo0494_path3640,,orange,166.001281,152.297756,0.84550734,0.87278184
photo0494_path3653,,orange,60.419267,12.388719,1.50430308,1.35001544
photo0494_path3655,,orange,61.094274,13.275865,1.54287482,1.04144058
photo0494_path3657,,orange,55.713499,30.305351,1.27287178,1.31144372
photo0494_path4091,,orange,31.953225,60.989275,1.19572802,1.73573418
photo0494_path4280,,orange,143.458966,43.159117,0.81823292,0.73640962
