Id,Label,Desc,DiscX,DiscY,DiscCx,DiscCy
photo0970_path10237,,orange,13.342162,173.631587,0.84705296,0.7886355
photo0970_path10239,,orange,24.178594,155.98952,1.31439248,1.48964482
photo0970_path10241,,orange,27.552206,159.626006,1.10993146,1.05151396
photo0970_path10243,,orange,29.976528,161.188673,1.92777558,1.19755764
photo0970_path10245,,orange,26.588317,138.668747,1.10993146,1.13914012
photo0970_path10247,,orange,18.11778543,115.2433544,1.92777558,1.08072272
photo0970_path10351,,orange,30.12257,75.97223,1.69410592,1.69410592
photo0970_path10353,,orange,19.8411,70.495588,1.92777558,2.0738192
photo0970_path10457,,orange,21.579022,70.34955,1.78173218,1.89856682
photo0970_path10459,,orange,13.707269,54.941951,2.1614454,1.2267663
photo0970_path10461,,orange,20.264629,31.239074,2.2490716,2.2490716
photo0970_path10463,,orange,19.242327,28.873164,2.0738192,1.66489716
photo0970_path10465,,orange,41.20728171,29.99769466,2.3074892,3.0377072
photo0970_path10569,,orange,43.441747,27.135234,1.98619308,2.219863
photo0970_path10571,,orange,47.73543,29.895464,1.6356884,1.37280998
photo0970_path10573,,orange,39.527783,136.536511,1.40201864,1.60647964
photo0970_path10575,,orange,38.768356,154.0033269,1.28518382,1.60647964
photo0970_path10577,,orange,39.469363,154.339227,0.93467912,1.10993146
photo0970_path10579,,orange,38.943606,160.589894,1.28518382,1.28518382
photo0970_path10581,,orange,31.612216,167.088835,1.40201864,1.54806232
photo0970_path10583,,orange,33.686038,167.819053,1.81094074,1.13914012
photo0970_path10585,,orange,75.10400439,67.88141,2.5119502,1.92777558
photo0970_path10587,,orange,64.296777,93.628895,1.51885356,1.72331448
photo0970_path10589,,orange,61.901661,95.133143,1.34360122,1.16834888
photo0970_path10591,,orange,63.449725,95.293794,2.103028,2.3074892
photo0970_path10593,,orange,69.3790948,128.255839,2.1614454,1.46043616
photo0970_path10595,,orange,68.9409638,127.598642,1.75252342,1.37280998
photo0970_path10597,,orange,69.6273691,136.1714015,2.0154018,1.40201864
photo0970_path10723,,orange,78.3315681,174.945981,1.37280998,1.37280998
photo0970_path10725,,orange,100.880702,109.226356,1.8401495,1.37280998
photo0970_path10727,,orange,84.72828001,27.16444989,3.4174206,1.69410592
photo0970_path10831,,orange,84.36317439,25.63099667,2.74562,1.4312274
photo0970_path10935,,orange,103.480276,141.6188283,1.37280998,1.8401495
photo0970_path10937,,orange,116.536575,124.298057,1.60647964,1.72331448
photo0970_path10939,,orange,126.306893,122.341075,1.34360122,1.31439248
photo0970_path10941,,orange,132.090222,123.947551,1.86935826,2.0154018
photo0970_path10943,,orange,119.997811,25.076034,1.81094074,2.2490716
photo0970_path10945,,orange,119.4574478,27.2958951,2.9500808,1.95698452
photo0970_path11049,,orange,120.26069,28.040714,2.6872024,1.98619308
photo0970_path11051,,orange,146.85523,42.338384,2.0154018,2.2490716
photo0970_path11053,,orange,160.743975,143.2545171,1.46043616,1.72331448
photo0970_path11055,,orange,162.175207,133.951539,1.6356884,1.69410592
photo0970_path11057,,orange,158.392675,115.170332,1.4312274,1.57727098
photo0970_path11059,,orange,158.378069,20.519464,1.57727098,1.8401495
photo0970_path11061,,orange,157.910735,19.015214,1.69410592,2.0446106
photo0970_path11063,,orange,161.853912,20.519464,1.69410592,2.0738192
photo0970_path11065,,orange,157.165905,3.578414,2.6579936,1.66489716
photo0970_path11067,,orange,158.261236,1.037254,2.8040372,2.5995762
photo0970_path19550,,orange,161.342761,132.315851,1.0223053,0.8178442
