Id,Label,Desc,DiscX,DiscY,DiscCx,DiscCy
photo0929_path2023,,orange,19.300706,153.179332,2.6436718,2.0240612
photo0929_path2025,,orange,0.923117,87.804063,1.78173218,1.8401495
photo0929_path2027,,orange,2.295927,87.993923,1.60647964,1.75252342
photo0929_path2029,,orange,0.762469,86.066153,1.2267663,1.28518382
photo0929_path2031,,orange,5.961622,24.873873,2.219863,1.6356884
photo0929_path2033,,orange,36.54315,27.283593,1.10993146,2.2490716
photo0929_path2039,,orange,56.405082,17.571693,1.57727098,1.46043616
photo0929_path2041,,orange,57.690263,76.222803,1.75252342,2.3366978
photo0929_path2043,,orange,53.717887,93.762653,1.6356884,2.0154018
photo0929_path2045,,orange,53.601042,95.004023,2.0446106,2.103028
photo0929_path2149,,orange,74.611277,66.124063,1.81752434,1.65229492
photo0929_path2151,,orange,59.55474,4.183643,1.85883178,1.9414463
photo0929_path2153,,orange,61.248344,1.002973,1.69360218,1.9414463
photo0929_path2155,,orange,86.77629,107.266193,1.61098748,1.56968012
photo0929_path2157,,orange,96.42157,119.369253,1.98275376,1.81752434
photo0929_path2159,,orange,98.0119,121.16613,1.61098748,1.69360218
photo0929_path2161,,orange,79.60945999,166.0259335,3.5524338,1.69360218
photo0929_path2265,,orange,53.895634,160.284203,2.0240612,2.684979
photo0929_path2267,,orange,55.857731,160.098326,2.561057,2.8089012
photo0929_path2271,,orange,124.03554,136.780309,2.2719056,2.5197496
photo0929_path2273,,orange,120.81357,98.219883,2.106676,2.230598
photo0929_path2275,,orange,116.41434,84.361263,2.0653684,1.52837276
photo0929_path2277,,orange,121.4383,60.070383,1.4312274,2.219863
photo0929_path2279,,orange,122.7527,59.792903,1.60647964,1.78173218
photo0929_path2281,,orange,123.57054,60.873633,1.54806232,1.95698452
photo0929_path2283,,orange,123.86263,58.390883,1.66489716,2.1906542
photo0929_path2285,,orange,124.49062,59.018873,1.6356884,1.69410592
photo0929_path2289,,orange,136.97735,8.108083,1.4312274,1.51885356
photo0929_path2291,,orange,161.57109,29.620283,1.78173218,1.78173218
photo0929_path2293,,orange,152.57479,42.253073,1.37280998,1.34360122
photo0929_path2295,,orange,152.26811,43.523643,1.34360122,1.31439248
photo0929_path2297,,orange,143.49089,103.007203,1.19755764,1.6356884
photo0929_path2299,,orange,162.90008,155.042546,2.2782802,2.2490716
photo0929_path2301,,orange,132.66907,174.553972,1.2267663,1.25597506
photo0929_path2303,,orange,172.53896,172.786845,1.92777558,2.9208724
photo0929_path2305,,orange,172.93329,167.733733,1.13914012,1.2267663
photo0929_path2307,,orange,168.14305,126.50562,1.54806232,1.89856682
photo0929_path2309,,orange,169.07773,126.476415,1.19755764,1.66489716
