Id,Label,Desc,DiscX,DiscY,DiscCx,DiscCy
photo0483_path15179,,orange,5.053319,170.915485,1.36314326,1.61098748
photo0483_path15203,,orange,5.631624,169.841496,1.44575796,1.28052846
photo0483_path15205,,orange,10.381972,167.962009,2.2719056,2.230598
photo0483_path15207,,orange,11.455962,171.865553,1.61098748,1.52837276
photo0483_path15209,,orange,12.28211,172.56778,1.52837276,1.69360218
photo0483_path15211,,orange,13.562639,174,2.2719056,2.1479834
photo0483_path15213,,orange,17.342263,172.464512,1.73490962,1.65229492
photo0483_path15215,,orange,18.746715,173.001508,2.0653684,1.98275376
photo0483_path15217,,orange,17.177035,168.044624,1.48706532,1.3218359
photo0483_path15219,,orange,19.593514,166.165138,1.52837276,1.69360218
photo0483_path15221,,orange,27.81368,167.652201,1.61098748,1.44575796
photo0483_path15223,,orange,20.213128,163.356237,2.0240612,1.77621688
photo0483_path15225,,orange,20.068551,161.621328,1.81752434,1.52837276
photo0483_path15229,,orange,22.794838,160.444068,1.90013904,1.98275376
photo0483_path15231,,orange,26.760344,160.650604,1.90013904,1.81752434
photo0483_path15233,,orange,29.36271,162.447474,1.4044506,1.61098748
photo0483_path15235,,orange,29.920357,157.015556,1.61098748,1.90013904
photo0483_path15237,,orange,36.343654,158.440659,1.73490962,1.85883178
photo0483_path15239,,orange,12.695186,159.142884,1.77621688,2.0240612
photo0483_path15241,,orange,17.796645,158.275431,1.81752434,2.0240612
photo0483_path15243,,orange,3.834755,157.531898,2.3132128,2.4371348
photo0483_path15245,,orange,4.9294,155.569798,2.5197496,1.81752434
photo0483_path15247,,orange,7.90353,152.719589,2.0240612,1.98275376
photo0483_path15249,,orange,17.75534,153.731619,2.3958274,1.69360218
photo0483_path15251,,orange,21.163195,150.7161812,2.0240612,2.106676
photo0483_path15253,,orange,20.894698,148.0105485,1.56968012,1.56968012
photo0483_path15255,,orange,22.918761,144.9538029,2.3132128,2.561057
photo0483_path15257,,orange,17.631417,141.1741787,2.230598,2.106676
photo0483_path15259,,orange,7.655687,138.5098532,2.6023644,2.3958274
photo0483_path15261,,orange,9.266674,132.1072106,1.77621688,1.48706532
photo0483_path15263,,orange,10.030858,131.2397561,1.73490962,2.0653684
photo0483_path15265,,orange,15.979119,126.241564,2.230598,2.230598
photo0483_path15269,,orange,8.213335,118.620355,1.65229492,1.77621688
photo0483_path15271,,orange,11.579885,119.033427,1.61098748,1.52837276
photo0483_path15273,,orange,17.569457,116.761523,2.106676,1.85883178
photo0483_path15275,,orange,22.980721,112.176405,1.69360218,1.77621688
photo0483_path15277,,orange,34.216329,124.775152,1.85883178,1.9414463
photo0483_path15279,,orange,3.194491,84.62439,1.36314326,1.19791374
photo0483_path15281,,orange,13.521334,82.497059,1.69360218,1.48706532
photo0483_path15283,,orange,14.430095,78.448933,1.44575796,1.73490962
photo0483_path15285,,orange,17.858608,73.698585,1.69360218,1.56968012
photo0483_path15287,,orange,7.449151,63.061939,2.3545202,2.106676
photo0483_path15291,,orange,0.344282,55.296156,1.44575796,1.85883178
photo0483_path15293,,orange,21.927382,57.258253,1.56968012,1.4044506
photo0483_path15295,,orange,23.848174,49.409852,1.44575796,1.4044506
photo0483_path15297,,orange,2.203113,42.780018,1.61098748,1.11529904
photo0483_path15299,,orange,5.54901,34.291366,1.61098748,1.4044506
photo0483_path15301,,orange,17.177035,35.592536,1.56968012,1.44575796
photo0483_path15303,,orange,18.457564,28.301786,1.48706532,1.4044506
photo0483_path15305,,orange,0.819315,28.260476,2.230598,2.0653684
photo0483_path15307,,orange,0.055129,20.432736,1.44575796,1.19791374
photo0483_path15309,,orange,11.703808,14.236626,1.52837276,1.52837276
photo0483_path15311,,orange,28.639828,17.644486,1.85883178,1.73490962
photo0483_path15415,,orange,28.102834,16.054156,1.9414463,1.9414463
photo0483_path15417,,orange,26.595116,29.706236,1.48706532,1.4044506
photo0483_path15419,,orange,27.999566,26.215766,1.81752434,1.69360218
photo0483_path15421,,orange,31.882461,13.740936,1.4044506,1.77621688
photo0483_path15423,,orange,8.770983,6.656716,1.44575796,1.98275376
photo0483_path15425,,orange,19.738091,4.901156,1.3218359,1.52837276
photo0483_path15427,,orange,26.161388,8.825356,1.9414463,1.61098748
photo0483_path15429,,orange,0.674741,1.803106,2.106676,1.77621688
photo0483_path15431,,orange,12.447338,0.336686,2.1892906,2.3132128
photo0483_path15433,,orange,44.192055,1.018276,1.48706532,1.69360218
photo0483_path15537,,orange,45.162777,1.555266,1.61098748,1.69360218
photo0483_path15539,,orange,45.782393,0.130156,1.69360218,2.3958274
photo0483_path15541,,orange,34.216329,28.714866,1.77621688,1.56968012
photo0483_path15543,,orange,46.11285,25.658126,1.85883178,1.73490962
photo0483_path15545,,orange,56.088576,6.656716,1.81752434,1.56968012
photo0483_path15547,,orange,29.548592,38.091636,1.9414463,1.81752434
photo0483_path15549,,orange,31.73788,39.971126,1.77621688,1.77621688
photo0483_path15551,,orange,29.755129,42.924598,2.0240612,2.1479834
photo0483_path15553,,orange,30.37474,43.647474,1.85883178,1.77621688
photo0483_path15555,,orange,56.37773,39.186276,1.81752434,1.9414463
photo0483_path15557,,orange,55.179812,45.609577,1.56968012,1.3218359
photo0483_path15559,,orange,50.821889,54.92439,1.44575796,1.44575796
photo0483_path15561,,orange,36.281692,59.63343,1.85883178,1.9414463
photo0483_path15563,,orange,51.91653,59.117085,2.0653684,1.3218359
photo0483_path15565,,orange,22.216533,63.041285,1.56968012,1.4044506
photo0483_path15567,,orange,22.836144,64.012013,1.81752434,1.69360218
photo0483_path15569,,orange,50.945809,74.462775,1.52837276,1.69360218
photo0483_path15571,,orange,30.870431,78.53155,1.77621688,1.3218359
photo0483_path15573,,orange,28.22676,88.879047,2.106676,2.0240612
photo0483_path15575,,orange,40.329818,90.593302,1.28052846,1.15660638
photo0483_path15577,,orange,51.895882,83.157978,1.52837276,1.48706532
photo0483_path15579,,orange,49.41744,102.985514,1.9414463,1.98275376
photo0483_path15581,,orange,48.901095,101.870216,1.65229492,1.4044506
photo0483_path15583,,orange,50.532735,101.994138,2.0240612,1.81752434
photo0483_path15585,,orange,36.5915,109.759925,1.81752434,2.0653684
photo0483_path15587,,orange,47.744484,109.780579,1.81752434,1.69360218
photo0483_path15589,,orange,45.534542,114.468961,1.69360218,1.73490962
photo0483_path15591,,orange,44.667092,121.202064,1.28052846,1.4044506
photo0483_path15595,,orange,41.940804,138.5305069,1.44575796,1.52837276
photo0483_path15699,,orange,33.782601,143.8591576,2.3958274,1.77621688
photo0483_path15701,,orange,33.844558,146.1723706,1.44575796,1.36314326
photo0483_path15703,,orange,42.106032,151.459714,1.61098748,1.44575796
photo0483_path15705,,orange,43.489828,156.540521,2.3132128,2.3545202
photo0483_path15707,,orange,48.777175,158.254777,1.98275376,2.0653684
photo0483_path15709,,orange,53.672097,152.058671,2.1892906,1.48706532
photo0483_path15711,,orange,54.023214,150.2411469,1.81752434,2.1479834
photo0483_path15713,,orange,59.579049,151.335793,1.44575796,1.52837276
photo0483_path15715,,orange,60.487813,150.3031075,1.69360218,1.69360218
photo0483_path15719,,orange,59.702974,144.6646515,2.106676,1.98275376
photo0483_path15721,,orange,49.541359,144.5407296,2.106676,2.230598
photo0483_path15723,,orange,55.097201,140.7611049,1.81752434,1.9414463
photo0483_path15725,,orange,52.205684,138.4685458,1.56968012,1.4044506
photo0483_path15727,,orange,58.071328,132.6442063,1.4044506,1.48706532
photo0483_path15729,,orange,64.680514,135.0193806,2.230598,2.2719056
