Id,Label,Desc,DiscX,DiscY,DiscCx,DiscCy
photo0466_path2298,,pink,27.59395,160.99052,1.81752434,2.0653684
photo0466_path2344,,pink,26.871068,161.713396,1.11529904,1.03268424
photo0466_path2346,,pink,24.47524049,82.67174954,4.1720448,1.48706532
photo0466_path2450,,pink,26.003612,66.293364,1.85883178,2.1892906
photo0466_path2452,,pink,37.776213,69.866464,2.5197496,1.48706532
photo0466_path2454,,pink,5.577116,46.114714,2.3132128,1.48706532
photo0466_path2458,,pink,15.821348,4.125774,1.81752434,2.2719056
photo0466_path2462,,pink,16.234422,11.664374,2.891516,1.07399168
photo0466_path2466,,pink,46.55403294,50.10087925,2.7262866,1.03268424
photo0466_path2570,,pink,50.498887,113.920769,1.36314326,1.36314326
photo0466_path2572,,pink,49.073778,140.687944,1.90013904,1.61098748
photo0466_path2574,,pink,66.443524,170.36729,1.28052846,1.3218359
photo0466_path2576,,pink,67.64144262,170.4292498,2.7786896,1.15238772
photo0466_path2680,,pink,80.735884,111.380369,1.85883178,1.48706532
photo0466_path2682,,pink,80.36410671,112.8054701,2.4254284,1.35936794
photo0466_path2786,,pink,102.4635516,52.14559319,3.5937412,1.48706532
photo0466_path2890,,pink,99.32419556,64.10408325,1.44575796,2.3545202
photo0466_path2994,,pink,86.229754,89.466814,1.85883178,1.44575796
photo0466_path2996,,pink,92.632404,111.235789,1.28052846,1.11529904
photo0466_path2998,,pink,93.95423886,110.5748796,2.2719056,1.11529904
photo0466_path3102,,pink,106.6149367,114.8088835,1.4044506,2.4784422
photo0466_path3206,,pink,110.311954,160.205678,1.77621688,1.81752434
photo0466_path3310,,pink,123.984694,137.693162,1.77621688,1.81752434
photo0466_path3312,,pink,109.960854,139.4900404,0.82614746,1.44575796
photo0466_path3416,,pink,118.8832443,81.32925285,2.3132128,0.95006952
photo0466_path3520,,pink,113.182834,64.310624,1.81752434,1.03268424
photo0466_path3522,,pink,140.962014,2.948504,2.4371348,1.73490962
photo0466_path3524,,pink,149.058264,6.748794,1.44575796,1.15660638
photo0466_path3526,,pink,144.865564,42.211164,1.2392211,2.0240612
photo0466_path3528,,pink,143.543744,41.777444,1.4044506,1.15660638
photo0466_path3530,,pink,143.7502697,90.49949267,1.2392211,2.2719056
photo0466_path3634,,pink,150.7931903,95.14656035,1.36314326,2.3132128
photo0466_path3738,,pink,147.2820457,109.2530296,1.52837276,1.03268424
photo0466_path3842,,pink,135.6540419,150.4158193,1.6809351,2.8232542
photo0466_path3946,,pink,159.488384,143.600114,1.15660638,1.3218359
photo0466_path3948,,pink,162.0494426,140.3987945,0.82614746,1.69360218
photo0466_path4052,,pink,164.9203015,130.918755,1.03268424,2.0653684
photo0466_path4156,,pink,157.6089072,99.42189133,1.11529904,2.2719056
photo0466_path1722,,orange,26.787443,118.215202,1.75252342,1.46043616
photo0466_path1724,,orange,36.105022,68.823244,2.3951152,2.4535326
photo0466_path1726,,orange,38.091221,64.821664,2.2782802,1.10993146
photo0466_path1728,,orange,24.450749,48.523194,1.40201864,1.46043616
photo0466_path1730,,orange,16.359929,33.071784,2.74562,1.51885356
photo0466_path1732,,orange,16.827269,35.028764,2.5119502,1.57727098
photo0466_path1734,,orange,29.883568,36.664454,1.51885356,1.69410592
photo0466_path1736,,orange,21.325407,31.465304,1.57727098,1.10993146
photo0466_path1738,,orange,42.12202,48.055854,1.92777558,1.2267663
photo0466_path1740,,orange,19.5436802,17.59115579,1.40201864,2.3366978
photo0466_path1844,,orange,20.332316,29.566724,2.1614454,1.05151396
photo0466_path1846,,orange,22.260094,17.094604,1.81094074,1.34360122
photo0466_path1848,,orange,69.686154,105.989754,1.4044506,1.19791374
photo0466_path1850,,orange,39.986156,134.94622,1.07399168,0.86745482
photo0466_path1852,,orange,73.672314,16.084254,1.44575796,1.73490962
photo0466_path1856,,orange,127.144704,40.331684,1.15660638,0.90876216
photo0466_path1858,,orange,125.182594,163.654841,1.9414463,1.52837276
photo0466_path1860,,orange,129.974274,160.370909,1.28052846,1.4044506
photo0466_path1862,,orange,131.192834,160.226332,1.48706532,1.36314326
photo0466_path1864,,orange,130.965644,161.300325,1.44575796,1.44575796
photo0466_path1866,,orange,130.531924,162.374315,1.07399168,1.52837276
photo0466_path1868,,orange,139.413004,166.277864,1.73490962,1.3218359
photo0466_path1870,,orange,138.855364,165.017988,1.61098748,1.61098748
photo0466_path1974,,orange,139.784774,164.377724,1.4044506,1.15660638
photo0466_path1976,,orange,140.755494,162.849351,1.85883178,1.81752434
photo0466_path1978,,orange,151.020374,69.969734,1.56968012,1.11529904
photo0466_path1980,,orange,139.0412293,13.50254533,1.2392211,1.85883178
photo0466_path2084,,orange,147.633154,14.122164,1.65229492,1.61098748
photo0466_path2088,,orange,169.897834,19.884554,2.3132128,1.3218359
photo0466_path2192,,orange,43.81613139,27.25923073,2.2782802,1.34360122
photo0466_path2194,,orange,38.792229,44.609224,1.2267663,0.99309654
