Id,Label,Desc,DiscX,DiscY,DiscCx,DiscCy
photo0457_path7482,,orange,20.722919,164.8693013,1.65229492,1.19791374
photo0457_path7638,,orange,35.92403,157.6198575,1.3218359,1.48706532
photo0457_path7640,,orange,10.10692542,147.8713174,1.65229492,1.15660638
photo0457_path7744,,orange,13.865894,149.95734,0.99137688,1.36314326
photo0457_path7746,,orange,14.960541,151.898787,1.28052846,0.95006952
photo0457_path7748,,orange,1.143224,37.064283,0.74353266,1.03268424
photo0457_path7774,,orange,37.782862,56.045033,1.15660638,1.15660638
photo0457_path7776,,orange,16.117145,16.864993,1.28052846,1.03268424
photo0457_path7778,,orange,24.64712,5.030433,0.99137688,1.07399168
photo0457_path7780,,orange,24.564503,5.526113,0.90876216,0.90876216
photo0457_path7782,,orange,39.889533,0.879033,0.90876216,1.03268424
photo0457_path7784,,orange,36.481684,27.233143,1.11529904,1.11529904
photo0457_path7786,,orange,51.579523,84.753654,1.3218359,1.73490962
photo0457_path7788,,orange,52.157831,99.376463,0.99137688,0.74353266
photo0457_path7790,,orange,52.405671,148.38766,1.15660638,1.44575796
photo0457_path7792,,orange,69.754767,156.132792,1.3218359,1.73490962
photo0457_path7794,,orange,70.932026,156.1740998,0.95006952,1.2392211
photo0457_path7796,,orange,73.782233,104.457273,1.11529904,0.99137688
photo0457_path7798,,orange,74.752955,106.171525,1.15660638,1.44575796
photo0457_path7800,,orange,74.587726,102.866935,1.4044506,1.44575796
photo0457_path7802,,orange,83.737316,97.496977,1.19791374,1.61098748
photo0457_path7804,,orange,73.080012,79.920695,1.28052846,1.07399168
photo0457_path7806,,orange,78.05755012,75.19100373,0.90876216,1.61098748
photo0457_path7910,,orange,108.934806,8.520903,1.19791374,1.52837276
photo0457_path7912,,orange,100.528756,100.553721,1.2392211,1.36314326
photo0457_path7914,,orange,105.196496,149.73015,2.0653684,1.48706532
photo0457_path7916,,orange,125.209916,0.589893,1.28052846,1.11529904
photo0457_path7918,,orange,144.913536,15.192043,1.19791374,1.2392211
photo0457_path7920,,orange,161.643016,35.102193,0.95006952,1.3218359
photo0457_path7922,,orange,141.505686,127.114362,0.74353266,1.11529904
photo0457_path7924,,orange,140.576256,125.689259,1.36314326,0.90876216
photo0457_path7926,,orange,146.173406,153.4478127,1.2392211,1.3218359
photo0457_path7928,,orange,160.465756,167.3683968,0.90876216,1.07399168
photo0457_path7930,,orange,164.823686,168.4423882,1.11529904,0.99137688
photo0457_path7932,,orange,167.983696,159.561304,0.66091794,0.99137688
photo0457_path1496,,pink,11.248401,171.542248,1.6356884,1.40201864
photo0457_path1498,,pink,15.366828,144.52418,1.81094074,2.1614454
photo0457_path1500,,pink,7.451267,143.355831,1.6356884,1.81094074
photo0457_path1502,,pink,8.940912,142.537986,1.57727098,1.57727098
photo0457_path1504,,pink,8.064645959,141.8077682,1.2267663,2.3366978
photo0457_path1608,,pink,22.143253,123.523109,1.46043616,1.40201864
photo0457_path1610,,pink,23.545273,122.792893,1.92777558,1.69410592
photo0457_path1612,,pink,9.583498684,98.84173836,1.34360122,2.0446106
photo0457_path1716,,pink,2.953118574,39.98616318,1.16834888,1.98619308
photo0457_path1820,,pink,0.674842,36.130623,1.28518382,1.28518382
photo0457_path1822,,pink,39.434815,19.160343,1.69410592,0.99309654
photo0457_path1824,,pink,44.955268,29.208143,0.93467912,1.92777558
photo0457_path1826,,pink,40.018995,33.122113,1.34360122,0.99309654
photo0457_path1828,,pink,39.785322,42.527323,1.46043616,1.2267663
photo0457_path1830,,pink,41.012092,44.192213,1.34360122,1.40201864
photo0457_path1832,,pink,43.43641306,41.15450942,1.05151396,1.75252342
photo0457_path1936,,pink,50.03758242,39.16831573,0.93467912,1.6356884
photo0457_path2040,,pink,55.470405,36.714783,1.40201864,1.51885356
photo0457_path2042,,pink,56.872419,35.984563,1.28518382,1.46043616
photo0457_path2044,,pink,38.21658409,92.62271144,3.8415856,1.52837276
photo0457_path2148,,pink,47.407483,128.931889,2.1479834,1.19791374
photo0457_path2252,,pink,47.73793652,126.8252162,1.65229492,1.03268424
photo0457_path2356,,pink,40.38523,161.3168672,1.48706532,1.19791374
photo0457_path2358,,pink,42.058173,166.0465611,2.4371348,1.56968012
photo0457_path2360,,pink,43.11151803,168.669579,2.4784422,1.11529904
photo0457_path2464,,pink,64.55003768,167.8640872,2.3132128,1.2392211
photo0457_path2568,,pink,67.17306038,166.3357128,1.36314326,2.561057
photo0457_path2672,,pink,61.865064,174.803724,2.3958274,1.07399168
photo0457_path2674,,pink,55.710261,149.544267,1.4044506,2.4371348
photo0457_path2676,,pink,62.6705498,115.8168016,1.52837276,2.561057
photo0457_path2780,,pink,60.047535,113.173127,1.65229492,1.56968012
photo0457_path2782,,pink,64.83918478,75.8519303,1.15660638,2.2719056
photo0457_path2886,,pink,62.050941,64.575004,1.19791374,1.44575796
photo0457_path2888,,pink,61.968329,61.291068,0.95006952,1.56968012
photo0457_path2890,,pink,71.26248922,42.37228632,2.0240612,1.2392211
photo0457_path2994,,pink,72.70824,39.439473,2.3545202,1.15660638
photo0457_path2996,,pink,67.999201,40.306923,1.36314326,1.56968012
photo0457_path2998,,pink,71.035297,37.250183,1.15660638,1.73490962
photo0457_path3000,,pink,68.391627,35.164163,0.99137688,1.28052846
photo0457_path3002,,pink,78.697816,20.768543,1.52837276,1.56968012
photo0457_path3004,,pink,86.44295056,17.54657068,0.90876216,1.73490962
photo0457_path3108,,pink,87.620206,19.735853,1.11529904,0.99137688
photo0457_path3110,,pink,89.004006,39.232923,0.99137688,1.07399168
photo0457_path3112,,pink,97.843786,35.412003,1.15660638,1.03268424
photo0457_path3114,,pink,93.444546,63.707554,1.36355658,2.5201628
photo0457_path3218,,pink,90.88349381,67.09474997,0.95006952,1.19791374
photo0457_path3322,,pink,80.68056756,71.57660783,2.1892906,1.07399168
photo0457_path3426,,pink,78.883698,105.469303,1.2392211,1.52837276
photo0457_path3612,,pink,76.4259101,172.4492053,0.86745482,1.73490962
photo0457_path3716,,pink,90.077986,165.7780633,0.74353266,1.52837276
photo0457_path3718,,pink,91.35852158,168.9174209,1.15660638,2.3545202
photo0457_path3883,,pink,89.272496,161.9571315,0.78484006,1.15660638
photo0457_path3885,,pink,96.294756,57.800603,1.44575796,0.95006952
photo0457_path3887,,pink,103.4615825,41.02979848,1.07399168,1.9414463
photo0457_path3991,,pink,110.174016,40.079723,1.03268424,1.03268424
photo0457_path3993,,pink,110.979526,41.752693,0.99137688,0.90876216
photo0457_path3995,,pink,112.8383627,41.36025783,1.81752434,1.03268424
photo0457_path4099,,pink,101.272296,11.412423,1.2392211,2.2719056
photo0457_path4101,,pink,110.5044864,13.9115094,1.19791374,2.1479834
photo0457_path4205,,pink,118.0430721,2.820490688,1.81752434,1.11529904
photo0457_path4309,,pink,115.605956,27.501643,0.99137688,1.07399168
photo0457_path4311,,pink,123.061928,16.34865876,1.85883178,0.82614746
photo0457_path4415,,pink,136.982516,27.253793,0.95006952,1.07399168
photo0457_path4417,,pink,111.950246,54.351433,1.03268424,1.4044506
photo0457_path4419,,pink,118.394196,55.363453,0.86745482,1.28052846
photo0457_path4421,,pink,117.6713231,54.72319286,0.82614746,1.48706532
photo0457_path4525,,pink,118.208316,65.814231,1.2392211,1.19791374
photo0457_path4527,,pink,121.9879445,64.57500691,1.85883178,0.78484006
photo0457_path4631,,pink,112.239396,72.857133,1.19791374,1.2392211
photo0457_path4633,,pink,138.366306,59.060463,0.99137688,1.3218359
photo0457_path4635,,pink,121.9053283,99.52104818,1.28052846,2.6023644
photo0457_path4739,,pink,129.795036,93.59342886,3.7589706,1.4044506
photo0457_path4843,,pink,138.035846,89.297465,1.3218359,1.4044506
photo0457_path4845,,pink,130.992956,106.605253,1.11529904,1.15660638
photo0457_path4847,,pink,118.187656,112.656785,0.95006952,1.03268424
photo0457_path4849,,pink,117.464776,112.28502,0.66091794,0.86745482
photo0457_path4851,,pink,116.824516,116.209217,1.11529904,1.19791374
photo0457_path4853,,pink,117.5887174,117.675626,0.99137688,2.0653684
photo0457_path4957,,pink,120.851986,118.130012,1.4044506,1.15660638
photo0457_path4959,,pink,115.213534,115.9407189,1.77621688,0.99137688
photo0457_path5063,,pink,116.0603232,115.3830765,0.99137688,0.7022253
photo0457_path5167,,pink,129.5058757,113.3590089,0.78484006,1.28052846
photo0457_path5271,,pink,129.505876,115.031959,1.19791374,0.99137688
photo0457_path5273,,pink,135.268256,120.381263,1.3218359,0.95006952
photo0457_path5275,,pink,127.275276,129.902613,1.61098748,0.99137688
photo0457_path5277,,pink,128.638426,131.18314,1.36314326,1.07399168
photo0457_path5279,,pink,135.082376,130.418955,1.03268424,1.52837276
photo0457_path5281,,pink,107.261856,144.69065,1.73490962,0.90876216
photo0457_path5283,,pink,128.473186,137.544476,1.03268424,1.2392211
photo0457_path5285,,pink,129.485226,137.62709,1.4044506,1.2392211
photo0457_path5287,,pink,126.820906,143.286199,1.36314326,0.99137688
photo0457_path5291,,pink,127.1720202,151.7335548,1.65229492,1.03268424
photo0457_path5475,,pink,124.445726,154.6044198,1.3218359,1.15660638
photo0457_path5477,,pink,124.796846,155.5751427,0.7022253,1.11529904
photo0457_path5479,,pink,125.4990543,156.4012898,1.03268424,1.61098748
photo0457_path5583,,pink,138.386966,147.540859,1.03268424,0.90876216
photo0457_path5585,,pink,133.223546,159.4167282,0.86745482,1.03268424
photo0457_path5587,,pink,117.4234685,173.2960053,2.8089012,1.44575796
photo0457_path5691,,pink,104.1844705,166.43898,1.03268424,1.85883178
photo0457_path5795,,pink,107.3238196,172.8003178,1.03268424,2.0240612
photo0457_path6009,,pink,135.5780665,158.6525427,0.7022253,1.56968012
photo0457_path6113,,pink,136.899896,156.8969788,0.78484006,1.36314326
photo0457_path6115,,pink,162.9028876,171.2306378,0.90876216,1.85883178
photo0457_path6219,,pink,149.601907,132.2364788,0.74353266,1.69360218
photo0457_path6323,,pink,150.097606,131.05922,1.48706532,0.82614746
photo0457_path6325,,pink,154.125076,134.281193,1.61098748,0.99137688
photo0457_path6429,,pink,153.835916,122.012904,0.86745482,0.74353266
photo0457_path6431,,pink,155.715396,116.60164,0.90876216,1.15660638
photo0457_path6433,,pink,149.3540691,95.61750277,1.0652317,2.3035236
photo0457_path6556,,pink,145.904906,94.72938,1.11529904,1.11529904
photo0457_path6558,,pink,144.0254111,83.63836196,2.2776764,1.01544952
photo0457_path6662,,pink,155.488226,82.337174,1.03268424,1.52837276
photo0457_path6664,,pink,155.529526,84.898234,1.69360218,0.95006952
photo0457_path6666,,pink,145.925566,76.884599,0.99137688,1.44575796
photo0457_path6668,,pink,146.751706,78.826048,1.2392211,0.86745482
photo0457_path6670,,pink,147.598506,60.898649,1.11529904,1.9414463
photo0457_path6672,,pink,144.4178466,71.28745013,1.85883178,1.15660638
photo0457_path6776,,pink,151.853166,60.547543,1.11529904,0.82614746
photo0457_path6778,,pink,153.030426,60.526883,0.82614746,1.19791374
photo0457_path6780,,pink,155.612136,61.497605,0.95006952,1.07399168
photo0457_path6782,,pink,155.694746,60.568193,1.03268424,0.95006952
photo0457_path6784,,pink,158.379746,61.043223,1.19791374,1.2392211
photo0457_path6786,,pink,157.181816,56.396143,0.78484006,1.52837276
photo0457_path6788,,pink,147.185436,56.561383,1.36314326,1.44575796
photo0457_path6790,,pink,146.462556,55.487383,1.2392211,1.36314326
photo0457_path6792,,pink,140.638216,39.563393,1.98275376,1.4044506
photo0457_path6794,,pink,142.7242398,36.60991457,1.61098748,0.86745482
photo0457_path6898,,pink,152.0597081,42.88862326,2.0240612,0.78484006
photo0457_path7002,,pink,152.2455784,39.68732174,2.0653684,0.90876216
photo0457_path7106,,pink,159.784186,15.171393,1.19791374,1.28052846
photo0457_path7108,,pink,173.684116,30.434463,1.98275376,1.15660638
photo0457_path7110,,pink,172.1970538,75.50080161,0.90876216,1.3218359
photo0457_path7214,,pink,173.498236,75.542112,0.86745482,1.4044506
photo0457_path7216,,pink,173.869986,74.0757,1.11529904,1.03268424
photo0457_path7218,,pink,173.085166,73.476743,1.36314326,0.74353266
photo0457_path7220,,pink,174.055876,75.356229,1.07399168,0.61961054
photo0457_path7222,,pink,174.943986,82.130637,0.95006952,0.7022253
photo0457_path7224,,pink,167.178206,116.043989,0.95006952,1.85883178
photo0457_path7226,,pink,169.098996,121.166102,1.73490962,1.03268424
photo0457_path7228,,pink,173.3330168,125.5446815,0.78484006,1.52837276
